run_id,symbol,trigger_name,trigger_params,filter_name,filter_params,timeframe,start_date,end_date,total_trades,win_rate,annual_return,sharpe_ratio,sortino_ratio,max_drawdown,calmar_ratio,gain_to_pain_ratio,irr_annualized,irr_daily,avg_daily_return,max_consecutive_wins,max_consecutive_losses,max_drawdown_duration,num_days,net_pnl,starting_balance,ending_balance,status,error_msg,elapsed_seconds,timestamp
171496,DOGE,ppo_bearish_cross,"{""window_slow"": 37, ""window_fast"": 18, ""window_sign"": 12}",cumulative_return_positive,"{""threshold"": 15.7895}",5m,2021-04-01,2021-06-15,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0,0,997,997,0.0,10000.0,10000.0,no_trades,,10.33,2026-02-25T00:39:53.682198
171497,DOGE,ppo_bearish_cross,"{""window_slow"": 37, ""window_fast"": 18, ""window_sign"": 12}",cumulative_return_positive,"{""threshold"": 42.1053}",5m,2021-04-01,2021-06-15,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0,0,997,997,0.0,10000.0,10000.0,no_trades,,10.71,2026-02-25T00:40:04.016173
171498,DOGE,ppo_bearish_cross,"{""window_slow"": 37, ""window_fast"": 18, ""window_sign"": 12}",cumulative_return_positive,"{""threshold"": 89.4737}",5m,2021-04-01,2021-06-15,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0,0,997,997,0.0,10000.0,10000.0,no_trades,,10.99,2026-02-25T00:40:14.724336
171499,DOGE,ppo_bearish_cross,"{""window_slow"": 37, ""window_fast"": 18, ""window_sign"": 12}",cumulative_return_positive,"{""threshold"": 100.0}",5m,2021-04-01,2021-06-15,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0,0,997,997,0.0,10000.0,10000.0,no_trades,,10.5,2026-02-25T00:40:25.710499
171500,DOGE,ppo_bearish_cross,"{""window_slow"": 37, ""window_fast"": 18, ""window_sign"": 12}",cumulative_return_target,"{""target"": 10}",5m,2021-04-01,2021-06-15,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0,0,997,997,0.0,10000.0,10000.0,no_trades,,10.44,2026-02-25T00:40:36.214878
171501,DOGE,ppo_bearish_cross,"{""window_slow"": 37, ""window_fast"": 18, ""window_sign"": 12}",cumulative_return_target,"{""target"": 43}",5m,2021-04-01,2021-06-15,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0,0,997,997,0.0,10000.0,10000.0,no_trades,,10.49,2026-02-25T00:40:46.659896
171502,DOGE,ppo_bearish_cross,"{""window_slow"": 37, ""window_fast"": 18, ""window_sign"": 12}",cumulative_return_target,"{""target"": 53}",5m,2021-04-01,2021-06-15,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0,0,997,997,0.0,10000.0,10000.0,no_trades,,10.61,2026-02-25T00:40:57.145229
171503,DOGE,ppo_bearish_cross,"{""window_slow"": 37, ""window_fast"": 18, ""window_sign"": 12}",cumulative_return_target,"{""target"": 90}",5m,2021-04-01,2021-06-15,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0,0,997,997,0.0,10000.0,10000.0,no_trades,,11.16,2026-02-25T00:41:07.755856
171504,DOGE,ppo_bearish_cross,"{""window_slow"": 37, ""window_fast"": 18, ""window_sign"": 12}",cumulative_return_target,"{""target"": 95}",5m,2021-04-01,2021-06-15,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0,0,997,997,0.0,10000.0,10000.0,no_trades,,10.31,2026-02-25T00:41:18.914922
171505,DOGE,ppo_bearish_cross,"{""window_slow"": 37, ""window_fast"": 18, ""window_sign"": 12}",daily_return_negative,"{""threshold"": 0.0}",5m,2021-04-01,2021-06-15,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0,0,997,997,0.0,10000.0,10000.0,no_trades,,10.71,2026-02-25T00:41:29.229762
