run_id,symbol,trigger_name,trigger_params,filter_name,filter_params,timeframe,start_date,end_date,total_trades,win_rate,annual_return,sharpe_ratio,sortino_ratio,max_drawdown,calmar_ratio,gain_to_pain_ratio,irr_annualized,irr_daily,avg_daily_return,max_consecutive_wins,max_consecutive_losses,max_drawdown_duration,num_days,net_pnl,starting_balance,ending_balance,status,error_msg,elapsed_seconds,timestamp
95048,LINK,mass_reversal_signal,"{""window_fast"": 7, ""window_slow"": 22, ""threshold_high"": 30, ""threshold_low"": 26}",roc_positive,"{""window"": 35, ""threshold"": 2}",30m,2025-07-04,2026-02-12,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0,0,472,472,0.0,10000.0,10000.0,no_trades,,38.07,2026-02-24T07:12:13.314229
95049,LINK,mass_reversal_signal,"{""window_fast"": 7, ""window_slow"": 22, ""threshold_high"": 30, ""threshold_low"": 26}",roc_positive,"{""window"": 37, ""threshold"": 10}",30m,2025-07-04,2026-02-12,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0,0,472,472,0.0,10000.0,10000.0,no_trades,,20.67,2026-02-24T07:12:51.388587
95050,LINK,mass_reversal_signal,"{""window_fast"": 7, ""window_slow"": 22, ""threshold_high"": 30, ""threshold_low"": 26}",rsi_overbought,"{""window"": 14, ""threshold"": 70}",30m,2025-07-04,2026-02-12,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0,0,472,472,0.0,10000.0,10000.0,no_trades,,5.05,2026-02-24T07:13:12.060535
95051,LINK,mass_reversal_signal,"{""window_fast"": 7, ""window_slow"": 22, ""threshold_high"": 30, ""threshold_low"": 26}",rsi_overbought,"{""window"": 33, ""threshold"": 100}",30m,2025-07-04,2026-02-12,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0,0,472,472,0.0,10000.0,10000.0,no_trades,,19.01,2026-02-24T07:13:17.115341
95052,LINK,mass_reversal_signal,"{""window_fast"": 7, ""window_slow"": 22, ""threshold_high"": 30, ""threshold_low"": 26}",rsi_overbought,"{""window"": 59, ""threshold"": 70}",30m,2025-07-04,2026-02-12,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0,0,472,472,0.0,10000.0,10000.0,no_trades,,20.53,2026-02-24T07:13:36.121899
95053,LINK,mass_reversal_signal,"{""window_fast"": 7, ""window_slow"": 22, ""threshold_high"": 30, ""threshold_low"": 26}",rsi_overbought,"{""window"": 90, ""threshold"": 70}",30m,2025-07-04,2026-02-12,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0,0,472,472,0.0,10000.0,10000.0,no_trades,,19.6,2026-02-24T07:13:56.650503
95054,LINK,mass_reversal_signal,"{""window_fast"": 7, ""window_slow"": 22, ""threshold_high"": 30, ""threshold_low"": 26}",rsi_overbought,"{""window"": 95, ""threshold"": 70}",30m,2025-07-04,2026-02-12,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0,0,472,472,0.0,10000.0,10000.0,no_trades,,20.36,2026-02-24T07:14:16.255128
95055,LINK,mass_reversal_signal,"{""window_fast"": 7, ""window_slow"": 22, ""threshold_high"": 30, ""threshold_low"": 26}",rsi_oversold,"{""window"": 14, ""threshold"": 30}",30m,2025-07-04,2026-02-12,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0,0,472,472,0.0,10000.0,10000.0,no_trades,,6.0,2026-02-24T07:14:36.617034
95056,LINK,mass_reversal_signal,"{""window_fast"": 7, ""window_slow"": 22, ""threshold_high"": 30, ""threshold_low"": 26}",rsi_oversold,"{""window"": 43, ""threshold"": 8}",30m,2025-07-04,2026-02-12,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0,0,472,472,0.0,10000.0,10000.0,no_trades,,19.91,2026-02-24T07:14:42.617882
95057,LINK,mass_reversal_signal,"{""window_fast"": 7, ""window_slow"": 22, ""threshold_high"": 30, ""threshold_low"": 26}",rsi_oversold,"{""window"": 54, ""threshold"": 30}",30m,2025-07-04,2026-02-12,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0,0,472,472,0.0,10000.0,10000.0,no_trades,,16.98,2026-02-24T07:15:02.527984
