run_id,symbol,trigger_name,trigger_params,filter_name,filter_params,timeframe,start_date,end_date,total_trades,win_rate,annual_return,sharpe_ratio,sortino_ratio,max_drawdown,calmar_ratio,gain_to_pain_ratio,irr_annualized,irr_daily,avg_daily_return,max_consecutive_wins,max_consecutive_losses,max_drawdown_duration,num_days,net_pnl,starting_balance,ending_balance,status,error_msg,elapsed_seconds,timestamp
136344,PAXG,ppo_bullish_cross,"{""window_slow"": 46, ""window_fast"": 5, ""window_sign"": 10}",ulcer_high_risk,"{""window"": 45, ""threshold"": 9}",1h,2025-01-01,2026-02-14,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0,0,422,422,0.0,10000.0,10000.0,no_trades,,4.46,2026-02-24T14:16:50.737485
136345,PAXG,ppo_bullish_cross,"{""window_slow"": 46, ""window_fast"": 5, ""window_sign"": 10}",ulcer_low_risk,"{""window"": 14, ""threshold"": 5}",1h,2025-01-01,2026-02-14,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0,0,422,422,0.0,10000.0,10000.0,no_trades,,4.23,2026-02-24T14:16:55.197842
136346,PAXG,ppo_bullish_cross,"{""window_slow"": 46, ""window_fast"": 5, ""window_sign"": 10}",ulcer_low_risk,"{""window"": 7, ""threshold"": 8}",1h,2025-01-01,2026-02-14,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0,0,422,422,0.0,10000.0,10000.0,no_trades,,4.57,2026-02-24T14:16:59.429214
136347,PAXG,ppo_bullish_cross,"{""window_slow"": 46, ""window_fast"": 5, ""window_sign"": 10}",ulcer_low_risk,"{""window"": 12, ""threshold"": 7}",1h,2025-01-01,2026-02-14,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0,0,422,422,0.0,10000.0,10000.0,no_trades,,4.39,2026-02-24T14:17:03.997101
136348,PAXG,ppo_bullish_cross,"{""window_slow"": 46, ""window_fast"": 5, ""window_sign"": 10}",ulcer_low_risk,"{""window"": 24, ""threshold"": 10}",1h,2025-01-01,2026-02-14,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0,0,422,422,0.0,10000.0,10000.0,no_trades,,4.23,2026-02-24T14:17:08.390242
136349,PAXG,ppo_bullish_cross,"{""window_slow"": 46, ""window_fast"": 5, ""window_sign"": 10}",ulcer_low_risk,"{""window"": 45, ""threshold"": 12}",1h,2025-01-01,2026-02-14,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0,0,422,422,0.0,10000.0,10000.0,no_trades,,3.75,2026-02-24T14:17:12.622198
136350,PAXG,ppo_bullish_cross,"{""window_slow"": 46, ""window_fast"": 5, ""window_sign"": 10}",uo_overbought,"{""window_short"": 7, ""window_medium"": 14, ""window_long"": 28, ""threshold"": 70}",1h,2025-01-01,2026-02-14,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0,0,422,422,0.0,10000.0,10000.0,no_trades,,4.21,2026-02-24T14:17:16.373825
136351,PAXG,ppo_bullish_cross,"{""window_slow"": 46, ""window_fast"": 5, ""window_sign"": 10}",uo_overbought,"{""window_short"": 20, ""window_medium"": 20, ""window_long"": 44, ""threshold"": 77}",1h,2025-01-01,2026-02-14,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0,0,422,422,0.0,10000.0,10000.0,no_trades,,3.47,2026-02-24T14:17:20.579840
136352,PAXG,ppo_bullish_cross,"{""window_slow"": 46, ""window_fast"": 5, ""window_sign"": 10}",uo_overbought,"{""window_short"": 4, ""window_medium"": 17, ""window_long"": 22, ""threshold"": 73}",1h,2025-01-01,2026-02-14,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0,0,422,422,0.0,10000.0,10000.0,no_trades,,5.2,2026-02-24T14:17:24.050138
136353,PAXG,ppo_bullish_cross,"{""window_slow"": 46, ""window_fast"": 5, ""window_sign"": 10}",uo_overbought,"{""window_short"": 11, ""window_medium"": 13, ""window_long"": 27, ""threshold"": 82}",1h,2025-01-01,2026-02-14,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0,0,422,422,0.0,10000.0,10000.0,no_trades,,4.58,2026-02-24T14:17:29.247710
