run_id,symbol,trigger_name,trigger_params,filter_name,filter_params,timeframe,start_date,end_date,total_trades,win_rate,annual_return,sharpe_ratio,sortino_ratio,max_drawdown,calmar_ratio,gain_to_pain_ratio,irr_annualized,irr_daily,avg_daily_return,max_consecutive_wins,max_consecutive_losses,max_drawdown_duration,num_days,net_pnl,starting_balance,ending_balance,status,error_msg,elapsed_seconds,timestamp
190096,SOL,bb_upper_breakout,"{""window"": 50, ""window_dev"": 3}",cumulative_return_positive,"{""threshold"": 15.7895}",5m,2026-02-01,2026-02-16,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0,0,336,336,0.0,10000.0,10000.0,no_trades,,21.88,2026-02-25T01:55:46.431580
190097,SOL,bb_upper_breakout,"{""window"": 50, ""window_dev"": 3}",cumulative_return_positive,"{""threshold"": 36.8421}",5m,2026-02-01,2026-02-16,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0,0,336,336,0.0,10000.0,10000.0,no_trades,,22.43,2026-02-25T01:56:08.309499
190098,SOL,bb_upper_breakout,"{""window"": 50, ""window_dev"": 3}",cumulative_return_positive,"{""threshold"": 73.6842}",5m,2026-02-01,2026-02-16,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0,0,336,336,0.0,10000.0,10000.0,no_trades,,22.78,2026-02-25T01:56:30.740186
190099,SOL,bb_upper_breakout,"{""window"": 50, ""window_dev"": 3}",cumulative_return_positive,"{""threshold"": 84.2105}",5m,2026-02-01,2026-02-16,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0,0,336,336,0.0,10000.0,10000.0,no_trades,,18.76,2026-02-25T01:56:53.518031
190100,SOL,bb_upper_breakout,"{""window"": 50, ""window_dev"": 3}",cumulative_return_target,"{""target"": 10}",5m,2026-02-01,2026-02-16,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0,0,336,336,0.0,10000.0,10000.0,no_trades,,22.34,2026-02-25T01:57:12.281393
190101,SOL,bb_upper_breakout,"{""window"": 50, ""window_dev"": 3}",cumulative_return_target,"{""target"": 1}",5m,2026-02-01,2026-02-16,23,0.3913,0.5071,0.508,0.1603,0.5147,0.9851,1.4569,0.5087,0.00139,0.0014,5,6,206,336,46.68,10000.0,10046.678869200654,ok,,19.03,2026-02-25T01:57:34.625903
190102,SOL,bb_upper_breakout,"{""window"": 50, ""window_dev"": 3}",cumulative_return_target,"{""target"": 11}",5m,2026-02-01,2026-02-16,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0,0,336,336,0.0,10000.0,10000.0,no_trades,,20.16,2026-02-25T01:57:53.653148
190103,SOL,bb_upper_breakout,"{""window"": 50, ""window_dev"": 3}",cumulative_return_target,"{""target"": 58}",5m,2026-02-01,2026-02-16,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0,0,336,336,0.0,10000.0,10000.0,no_trades,,20.9,2026-02-25T01:58:13.813156
190104,SOL,bb_upper_breakout,"{""window"": 50, ""window_dev"": 3}",cumulative_return_target,"{""target"": 90}",5m,2026-02-01,2026-02-16,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0,0,336,336,0.0,10000.0,10000.0,no_trades,,20.98,2026-02-25T01:58:34.709369
190105,SOL,bb_upper_breakout,"{""window"": 50, ""window_dev"": 3}",daily_return_negative,"{""threshold"": 0.0}",5m,2026-02-01,2026-02-16,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0,0,336,336,0.0,10000.0,10000.0,no_trades,,21.45,2026-02-25T01:58:55.690230
190106,SOL,bb_upper_breakout,"{""window"": 50, ""window_dev"": 3}",daily_return_negative,"{""threshold"": 10.5263}",5m,2026-02-01,2026-02-16,34,0.3529,0.4838,0.4115,0.1686,0.7465,0.6481,1.2864,0.4853,0.001327,0.001342,7,6,279,336,44.54,10000.0,10044.536592874605,ok,,21.22,2026-02-25T01:59:17.136083
190107,SOL,bb_upper_breakout,"{""window"": 50, ""window_dev"": 3}",daily_return_negative,"{""threshold"": 63.1579}",5m,2026-02-01,2026-02-16,34,0.3529,0.4838,0.4115,0.1686,0.7465,0.6481,1.2864,0.4853,0.001327,0.001342,7,6,279,336,44.54,10000.0,10044.536592874605,ok,,19.86,2026-02-25T01:59:38.353210
190108,SOL,bb_upper_breakout,"{""window"": 50, ""window_dev"": 3}",daily_return_negative,"{""threshold"": 68.4211}",5m,2026-02-01,2026-02-16,34,0.3529,0.4838,0.4115,0.1686,0.7465,0.6481,1.2864,0.4853,0.001327,0.001342,7,6,279,336,44.54,10000.0,10044.536592874605,ok,,21.34,2026-02-25T01:59:58.213886
190109,SOL,bb_upper_breakout,"{""window"": 50, ""window_dev"": 3}",daily_return_negative,"{""threshold"": 89.4737}",5m,2026-02-01,2026-02-16,34,0.3529,0.4838,0.4115,0.1686,0.7465,0.6481,1.2864,0.4853,0.001327,0.001342,7,6,279,336,44.54,10000.0,10044.536592874605,ok,,21.54,2026-02-25T02:00:19.550450
190110,SOL,bb_upper_breakout,"{""window"": 50, ""window_dev"": 3}",daily_return_positive,"{""threshold"": 0.0}",5m,2026-02-01,2026-02-16,34,0.3529,0.4838,0.4115,0.1686,0.7465,0.6481,1.2864,0.4853,0.001327,0.001342,7,6,279,336,44.54,10000.0,10044.536592874605,ok,,21.21,2026-02-25T02:00:41.090177
190111,SOL,bb_upper_breakout,"{""window"": 50, ""window_dev"": 3}",daily_return_positive,"{""threshold"": 21.0526}",5m,2026-02-01,2026-02-16,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0,0,336,336,0.0,10000.0,10000.0,no_trades,,20.91,2026-02-25T02:01:02.298251
190112,SOL,bb_upper_breakout,"{""window"": 50, ""window_dev"": 3}",daily_return_positive,"{""threshold"": 31.5789}",5m,2026-02-01,2026-02-16,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0,0,336,336,0.0,10000.0,10000.0,no_trades,,22.86,2026-02-25T02:01:23.210100
190113,SOL,bb_upper_breakout,"{""window"": 50, ""window_dev"": 3}",daily_return_positive,"{""threshold"": 84.2105}",5m,2026-02-01,2026-02-16,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0,0,336,336,0.0,10000.0,10000.0,no_trades,,21.01,2026-02-25T02:01:46.069260
190114,SOL,bb_upper_breakout,"{""window"": 50, ""window_dev"": 3}",daily_return_positive,"{""threshold"": 100.0}",5m,2026-02-01,2026-02-16,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0,0,336,336,0.0,10000.0,10000.0,no_trades,,20.63,2026-02-25T02:02:07.076325
190115,SOL,bb_upper_breakout,"{""window"": 50, ""window_dev"": 3}",dpo_negative,"{""window"": 20}",5m,2026-02-01,2026-02-16,29,0.3448,0.7087,0.6773,0.2873,0.544,1.3026,1.5442,0.711,0.001941,0.00195,6,7,206,336,65.24,10000.0,10065.2366009071,ok,,23.06,2026-02-25T02:02:27.701429
190116,SOL,bb_upper_breakout,"{""window"": 50, ""window_dev"": 3}",dpo_negative,"{""window"": 16}",5m,2026-02-01,2026-02-16,27,0.3704,0.317,0.3061,0.1137,0.9254,0.3426,1.2142,0.318,0.00087,0.000882,7,10,288,336,29.18,10000.0,10029.182773373861,ok,,21.34,2026-02-25T02:02:50.765839
190117,SOL,bb_upper_breakout,"{""window"": 50, ""window_dev"": 3}",dpo_negative,"{""window"": 21}",5m,2026-02-01,2026-02-16,27,0.3704,0.7721,0.7448,0.3139,0.5037,1.5328,1.6228,0.7747,0.002114,0.002123,6,6,206,336,71.08,10000.0,10071.079733797607,ok,,20.81,2026-02-25T02:03:12.103643
